Day,waiting,duration
149,80,0.83
13,89,1.62
216,93,1.62
98,88,1.63
102,89,1.63
288,93,1.67
139,75,1.70
153,85,1.70
233,86,1.72
92,82,1.73
151,88,1.73
214,81,1.75
16,73,1.77
94,81,1.77
53,92,1.77
181,78,1.78
174,78,1.80
115,80,1.80
268,96,1.80
82,74,1.82
100,93,1.82
121,93,1.82
183,98,1.82
248,74,1.83
250,78,1.83
11,81,1.83
39,87,1.83
117,87,1.83
155,96,1.83
275,83,1.85
188,84,1.85
200,89,1.85
157,80,1.87
192,80,1.87
96,92,1.87
198,76,1.88
229,80,1.88
47,83,1.88
21,84,1.90
194,88,1.90
90,87,1.92
241,89,1.92
292,78,1.93
76,81,1.93
166,83,1.93
254,84,1.93
286,84,1.93
221,93,1.93
273,76,1.95
113,77,1.95
290,87,1.95
231,91,1.95
61,108,1.95
238,76,1.97
256,84,1.97
202,88,1.97
147,78,1.98
164,69,2.00
245,71,2.00
262,73,2.00
6,77,2.00
63,77,2.00
266,77,2.00
45,78,2.00
25,79,2.00
104,79,2.00
299,79,2.00
65,80,2.00
125,81,2.00
284,81,2.00
67,82,2.00
106,82,2.00
168,82,2.00
18,83,2.00
23,85,2.00
205,85,2.00
43,86,2.00
86,87,2.00
212,87,2.00
108,88,2.00
72,79,2.02
190,83,2.02
9,77,2.03
88,80,2.05
296,85,2.07
49,87,2.08
178,90,2.10
119,85,2.12
294,87,2.13
2,71,2.15
70,73,2.17
55,89,2.18
37,91,2.20
33,75,2.22
41,93,2.27
208,77,2.38
133,75,2.47
176,79,2.48
51,80,2.50
218,84,2.57
35,76,2.60
270,89,2.75
27,88,2.83
170,84,2.87
110,78,2.93
84,81,3.00
243,93,3.00
196,84,3.25
247,79,3.28
58,69,3.33
172,84,3.45
31,74,3.52
69,81,3.53
169,57,3.70
219,70,3.70
30,78,3.72
59,74,3.73
131,76,3.75
135,83,3.80
78,81,3.82
187,65,3.87
137,72,3.87
57,84,3.88
112,75,3.90
265,93,3.92
130,77,3.93
272,84,3.97
236,89,3.97
68,48,4.00
184,48,4.00
269,48,4.00
201,49,4.00
46,52,4.00
109,52,4.00
44,53,4.00
263,53,4.00
246,54,4.00
165,55,4.00
3,57,4.00
26,57,4.00
64,57,4.00
24,58,4.00
105,58,4.00
297,58,4.00
83,59,4.00
126,59,4.00
52,60,4.00
66,61,4.00
206,65,4.00
85,66,4.00
285,66,4.00
60,71,4.00
160,72,4.00
244,72,4.00
225,74,4.00
283,74,4.00
5,75,4.00
146,75,4.00
207,75,4.00
282,76,4.00
144,77,4.00
224,77,4.00
143,78,4.00
162,78,4.00
185,78,4.00
204,78,4.00
278,78,4.00
279,78,4.00
281,78,4.00
145,79,4.00
186,79,4.00
4,80,4.00
124,80,4.00
280,81,4.00
227,82,4.00
264,82,4.00
277,85,4.00
127,86,4.00
163,87,4.00
223,87,4.00
298,88,4.00
1,80,4.02
79,71,4.03
29,76,4.07
295,52,4.08
122,54,4.10
114,53,4.12
42,54,4.13
129,71,4.13
228,74,4.13
73,54,4.15
36,58,4.15
134,50,4.17
193,50,4.17
80,79,4.17
74,80,4.20
258,87,4.20
232,53,4.22
226,72,4.22
197,74,4.22
128,78,4.22
20,82,4.22
210,92,4.22
220,73,4.23
89,50,4.25
195,50,4.25
253,72,4.25
235,79,4.25
48,60,4.27
141,79,4.27
240,80,4.27
103,51,4.28
8,86,4.28
257,57,4.30
136,82,4.32
54,43,4.33
287,48,4.33
75,73,4.33
222,50,4.35
179,62,4.35
211,68,4.37
180,87,4.37
93,58,4.38
7,60,4.38
173,73,4.38
237,87,4.38
15,90,4.38
175,57,4.40
260,86,4.40
242,45,4.42
293,54,4.42
209,69,4.42
132,94,4.42
234,49,4.45
97,50,4.45
87,53,4.45
239,59,4.45
213,61,4.45
158,78,4.45
159,81,4.45
50,49,4.47
230,49,4.47
191,60,4.47
32,85,4.47
56,60,4.48
156,50,4.50
267,54,4.50
215,55,4.50
71,62,4.50
28,68,4.50
177,57,4.52
107,52,4.53
259,68,4.53
167,49,4.58
152,54,4.58
142,72,4.58
40,48,4.60
95,49,4.60
148,64,4.60
252,87,4.60
251,57,4.62
249,65,4.62
261,75,4.62
77,62,4.65
123,76,4.65
91,51,4.67
116,55,4.67
17,60,4.67
81,81,4.67
291,51,4.68
138,77,4.68
189,50,4.70
118,53,4.70
217,53,4.70
271,63,4.73
19,65,4.73
111,69,4.73
154,51,4.75
289,47,4.77
38,50,4.77
203,51,4.77
120,61,4.78
276,50,4.80
161,75,4.80
10,56,4.83
171,57,4.83
14,54,4.87
34,65,4.88
150,49,4.92
182,52,4.92
22,54,4.97
274,62,4.97
140,65,4.97
255,47,4.98
199,65,4.98
99,62,5.03
101,56,5.10
62,50,5.27
12,50,5.45
